 ****** HSPICE -- O-2018.09-SP2-2 linux64 (May  9 2019) ******
  Copyright (c) 1986 - 2020 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
9
#Number of plot points
1000
#Number of Measures
2
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
vw,wm,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
0.3142687,0.07551987,-0.6635162,-0.7494393,-0.5779074
0.3142759,0.07552018,-0.6603956,-0.7462497,-0.5748533
0.3142816,0.07552025,-0.6572814,-0.7430669,-0.5718051
0.3142849,0.07552058,-0.6541736,-0.7398911,-0.5687627
0.3142967,0.07552061,-0.651072,-0.7367221,-0.5657261
0.3142988,0.07552159,-0.6479767,-0.7335599,-0.5626953
0.314306,0.07552256,-0.6448876,-0.7304044,-0.5596702
0.3143099,0.07552283,-0.6418047,-0.7272555,-0.5566507
0.3143189,0.0755267,-0.6387278,-0.7241132,-0.5536368
0.314324,0.07552673,-0.635657,-0.7209775,-0.5506285
0.3143243,0.07552782,-0.6325922,-0.7178483,-0.5476257
0.314326,0.07552864,-0.6295333,-0.7147255,-0.5446283
0.3143267,0.07552983,-0.6264802,-0.711609,-0.5416363
0.3143312,0.07553035,-0.623433,-0.7084989,-0.5386497
0.3143336,0.07553192,-0.6203916,-0.7053951,-0.5356684
0.3143346,0.07553208,-0.6173559,-0.7022974,-0.5326924
0.3143453,0.07553258,-0.6143259,-0.6992059,-0.5297216
0.3143453,0.07553496,-0.6113015,-0.6961205,-0.526756
0.3143456,0.07553601,-0.6082827,-0.6930412,-0.5237955
0.3143488,0.07553625,-0.6052694,-0.6899679,-0.52084
0.314351,0.07553641,-0.6022616,-0.6869005,-0.5178897
0.3143518,0.07553661,-0.5992593,-0.683839,-0.5149443
0.3143525,0.075537,-0.5962623,-0.6807833,-0.5120039
0.3143531,0.07553886,-0.5932707,-0.6777335,-0.5090684
0.3143546,0.0755401,-0.5902844,-0.6746894,-0.5061378
0.3143585,0.0755402,-0.5873033,-0.6716509,-0.503212
0.3143601,0.07554119,-0.5843275,-0.6686182,-0.500291
0.3143642,0.07554158,-0.5813568,-0.665591,-0.4973747
0.3143678,0.0755416,-0.5783913,-0.6625694,-0.4944632
0.3143692,0.07554366,-0.5754308,-0.6595533,-0.4915563
0.3143729,0.07554389,-0.5724753,-0.6565427,-0.488654
0.314373,0.07554483,-0.5695249,-0.6535375,-0.4857563
0.3143734,0.07554559,-0.5665794,-0.6505376,-0.4828632
0.3143736,0.07554681,-0.5636388,-0.6475431,-0.4799745
0.3143737,0.07554962,-0.560703,-0.6445538,-0.4770904
0.3143744,0.07555023,-0.5577721,-0.6415698,-0.4742106
0.3143745,0.07555087,-0.554846,-0.638591,-0.4713353
0.3143752,0.07555095,-0.5519246,-0.6356173,-0.4684643
0.3143754,0.07555418,-0.5490079,-0.6326487,-0.4655977
0.3143768,0.07555521,-0.5460959,-0.6296852,-0.4627353
0.3143779,0.07555675,-0.5431885,-0.6267267,-0.4598771
0.3143781,0.07555902,-0.5402857,-0.6237732,-0.4570232
0.3143782,0.07555931,-0.5373875,-0.6208246,-0.4541734
0.3143802,0.07556043,-0.5344937,-0.6178809,-0.4513278
0.3143817,0.0755615,-0.5316044,-0.6149421,-0.4484863
0.3143821,0.07556621,-0.5287196,-0.612008,-0.4456488
0.3143825,0.07556749,-0.5258391,-0.6090788,-0.4428153
0.3143843,0.07556995,-0.522963,-0.6061543,-0.4399859
0.3143844,0.07557006,-0.5200912,-0.6032344,-0.4371604
0.3143854,0.07557025,-0.5172237,-0.6003193,-0.4343388
0.3143855,0.07557026,-0.5143605,-0.5974087,-0.4315212
0.3143868,0.07557177,-0.5115014,-0.5945027,-0.4287073
0.3143883,0.07557362,-0.5086465,-0.5916013,-0.4258974
0.31439,0.07557451,-0.5057958,-0.5887043,-0.4230912
0.3143931,0.07557582,-0.5029492,-0.5858118,-0.4202887
0.3143938,0.07557638,-0.5001066,-0.5829238,-0.41749
0.314395,0.07557706,-0.4972681,-0.5800401,-0.414695
0.3143965,0.0755788,-0.4944336,-0.5771608,-0.4119036
0.3143973,0.07557911,-0.491603,-0.5742858,-0.4091159
0.3143976,0.07558083,-0.4887764,-0.571415,-0.4063318
0.3143977,0.0755811,-0.4859537,-0.5685485,-0.4035512
0.3143987,0.07558147,-0.4831348,-0.5656863,-0.4007742
0.3144014,0.07558798,-0.4803198,-0.5628282,-0.3980007
0.3144025,0.07558861,-0.4775086,-0.5599742,-0.3952306
0.3144052,0.07558998,-0.4747011,-0.5571244,-0.392464
0.3144064,0.07559227,-0.4718974,-0.5542786,-0.3897009
0.3144092,0.07559244,-0.4690974,-0.5514368,-0.3869411
0.3144103,0.07559247,-0.4663011,-0.548599,-0.3841846
0.314412,0.07559337,-0.4635084,-0.5457653,-0.3814315
0.3144134,0.07559686,-0.4607193,-0.5429354,-0.3786817
0.3144135,0.07559697,-0.4579338,-0.5401095,-0.3759351
0.3144141,0.07559766,-0.4551518,-0.5372874,-0.3731918
0.3144142,0.07560017,-0.4523734,-0.5344691,-0.3704517
0.314415,0.07560085,-0.4495985,-0.5316547,-0.3677148
0.314416,0.07560326,-0.446827,-0.528844,-0.364981
0.3144182,0.07560452,-0.4440589,-0.5260371,-0.3622504
0.3144182,0.07560474,-0.4412942,-0.5232339,-0.3595228
